id,出版社,書名,已閱,購買日,買入價,購買平台,售出價,售出日,閱讀日,備註,再刷
1,親子天下,學校沒教的心理課：自我成長篇—穩定情緒、突破盲點，華麗變身人氣王,,2025-11-04,200,親子天下,,,,,
2,親子天下,穿越驚奇圖書館1：被封印的格林兄弟,,2025-11-04,174,親子天下,,,,,
3,親子天下,奇想聊齋1,,2025-10-22,160,親子天下,,,,有使用點數及優惠券300,
4,親子天下,奇想聊齋2,,2025-10-22,160,親子天下,,,,有使用點數及優惠券300,
5,親子天下,奇想聊齋3,,2025-10-22,160,親子天下,,,,有使用點數及優惠券300,
6,親子天下,奇想三國1：九命喜鵲救曹操,,2025-10-22,149,親子天下,,,,有使用點數及優惠券300,
7,親子天下,身體怎麼了,V,2025-10-22,222,親子天下,250,2026-02-02,2025-11-12,有使用點數及優惠券300,
8,親子天下,生病怎麼辦,V,2025-10-22,222,親子天下,250,2026-02-02,2025-11-11,有使用點數及優惠券300,
9,親子天下,伊豬豬和魯豬豬異想天開腦治大開古怪故事集：勇敢的勇太,V,2025-10-21,164,親子天下,269,2026-03-15,2025-10-24,有使用3.1萬點及優惠券300,
10,親子天下,最想吃的漫畫世界史：好味甜點時光機,,2025-10-21,187,親子天下,,,,有使用3.1萬點及優惠券300,
11,親子天下,最想吃的漫畫世界史：好味食品實驗室,,2025-10-21,187,親子天下,,,,有使用3.1萬點及優惠券300,
12,親子天下,汪汪狗圖解生活數學套書-為什麼電梯沒有0樓？,V,2025-10-21,131,親子天下,,,2025-12-20,有使用3.1萬點及優惠券300,
13,親子天下,汪汪狗圖解生活數學套書-一眨眼的時間是幾秒？,V,2025-10-21,131,親子天下,,,2025-12-20,有使用3.1萬點及優惠券300,
14,親子天下,最有梗的人體教室：針筒兄弟與他們的器官小夥伴,,2025-10-01,215,親子天下,,,,使用6700點及優惠券100元,
15,親子天下,達克比辦案1,,2025-06-09,169,親子天下,,,,,
16,親子天下,達克比辦案2,,2025-06-09,169,親子天下,,,,,
17,親子天下,達克比辦案3,,2025-06-09,169,親子天下,,,,,
18,親子天下,達克比辦案4,,2025-06-09,169,親子天下,,,,,
19,親子天下,達克比辦案5,,2025-06-09,169,親子天下,,,,,
20,親子天下,科學不思議1：點亮營火蟲之光,,2025-04-08,183,親子天下,,,,,
21,親子天下,科學不思議2：生理時鐘滴答滴,,2025-04-08,183,親子天下,,,,,
22,親子天下,科學不思議3：神奇植物吹泡泡,,2025-04-08,184,親子天下,,,,,
23,親子天下,科學不思議4：好想去月球,,2025-04-08,185,親子天下,,,,,
24,親子天下,科學不思議5：尾巴大調查,,2025-04-08,185,親子天下,,,,,
25,親子天下,科學不思議6：昆蟲量體重,,2025-04-08,185,親子天下,,,,,
26,親子天下,我愛奇怪阿公,V,2025-04-08,211,親子天下,210,2025-11-12,,,
27,親子天下,我愛奇怪阿嬤,V,2025-04-08,211,親子天下,210,2025-11-12,,,
28,親子天下,學思達小學堂2：都是我的,V,2025-04-08,174,親子天下,,,2025-10-12,,
29,親子天下,快閃貓生活謎語童話1：神祕山有鬼？,V,2025-04-08,158,親子天下,165,2025-09-22,,,
30,親子天下,快閃貓生活謎語童話2：滾滾豬大富翁,V,2025-04-08,158,親子天下,165,2025-09-22,,,
31,親子天下,快閃貓生活謎語童話3：超級難唸的安眠咒,V,2025-04-08,170,親子天下,165,2025-09-22,,,
32,親子天下,奇想三十六計套書1,,2025-04-08,177,親子天下,,,,,
33,親子天下,奇想三十六計套書2,,2025-04-08,177,親子天下,,,,,
34,親子天下,奇想三十六計套書3,,2025-04-08,177,親子天下,,,,,
35,親子天下,小熊兄妹的點子屋1：點子屋新開張,V,2025-04-08,151,親子天下,151,2025-12-03,2025-11-08,,
36,親子天下,小熊兄妹的點子屋2：不能說的三句話,V,2025-04-08,151,親子天下,151,2025-12-03,2025-11-09,,
37,親子天下,小熊兄妹的點子屋3：超愛睏魔咒大作戰,V,2025-04-08,151,親子天下,151,2025-12-03,2025-11-10,,
38,親子天下,家守神1：暗藏神祕的百年之屋,,2025-03-12,220,親子天下,,,,,
39,親子天下,狐狸一族心探險套書1,V,2025-03-12,176,親子天下,178,2025-10-31,,,
40,親子天下,狐狸一族心探險套書2,V,2025-03-12,176,親子天下,178,2025-10-31,,,
41,親子天下,狐狸一族心探險套書3,V,2025-03-12,176,親子天下,178,2025-10-31,,,
42,親子天下,妙妙喵圖解生活科學1：消失的便便,V,2025-11-04,160,親子天下,,,2026-01-11,,
43,親子天下,妙妙喵圖解生活科學2：超能微波爐,V,2025-10-17,259,博客來,,,2025-10-12,,
44,親子天下,妙妙喵圖解生活科學3：神奇測謊機,V,2025-03-12,202,親子天下,,,2026-01-14,,
45,親子天下,妙妙喵圖解生活科學4：閃電避雷針,V,2025-11-04,177,親子天下,,,2025-11-30,,
46,親子天下,君偉的怪奇報告,,2025-11-04,131,親子天下,,,,,
47,親子天下,君偉的節日報告,V,2025-02-09,176,親子天下,,,2025-11-17,,
48,親子天下,暴龍時光機,V,2025-02-09,164,親子天下,,,,,
49,親子天下,小兒子1：爸爸是夜晚暴食龍,,2025-02-09,177,親子天下,,,,,
50,親子天下,一個傻蛋賣香屁,V,2024-11-05,102,親子天下,133,2025-10-16,,,
51,親子天下,怪傑左羅力1,V,2024-07-07,151,MOMO,,,,,
52,親子天下,怪傑左羅力2,V,2024-07-07,151,MOMO,,,,,
53,親子天下,怪傑左羅力3,V,2024-07-07,151,MOMO,,,,,
54,親子天下,怪傑左羅力4,V,2024-07-07,151,MOMO,,,,,
55,親子天下,怪傑左羅力5,V,2024-07-07,151,MOMO,,,,,
56,親子天下,怪傑左羅力6,V,2024-07-07,151,MOMO,,,,,
57,親子天下,怪傑左羅力7,V,2024-07-07,151,MOMO,,,,,
58,親子天下,怪傑左羅力8,V,2024-07-07,151,MOMO,,,,,
59,親子天下,怪傑左羅力9,V,2024-07-07,151,MOMO,,,,,
60,親子天下,怪傑左羅力10,V,2024-07-07,151,MOMO,,,,,
61,親子天下,怪傑左羅力11,V,2024-08-01,172,FB,,,,,
62,親子天下,怪傑左羅力12,V,2024-08-01,172,FB,,,,,
63,親子天下,怪傑左羅力13,V,2024-08-01,172,FB,,,,,
64,親子天下,怪傑左羅力14,V,2024-08-01,172,FB,,,,,
65,親子天下,怪傑左羅力15,V,2024-08-01,172,FB,,,,,
66,親子天下,怪傑左羅力16,V,2024-08-01,172,FB,,,,,
67,親子天下,怪傑左羅力17,V,2024-08-01,172,FB,,,,,
68,親子天下,怪傑左羅力18,V,2024-08-01,172,FB,,,,,
69,親子天下,怪傑左羅力19,V,2024-08-01,172,FB,,,,,
70,親子天下,怪傑左羅力20,V,2024-08-01,172,FB,,,,,
71,親子天下,怪傑左羅力21,V,2024-11-05,128,親子天下,,,,,
72,親子天下,怪傑左羅力22,V,2024-11-05,128,親子天下,,,,,
73,親子天下,怪傑左羅力23,V,2024-11-05,127,親子天下,,,,,
74,親子天下,怪傑左羅力24,V,2024-11-05,126,親子天下,,,,,
75,親子天下,怪傑左羅力25,V,2024-11-05,125,親子天下,,,,,
76,親子天下,怪傑左羅力26,V,2025-01-14,158,親子天下,,,,,
77,親子天下,怪傑左羅力27,V,2025-01-14,157,親子天下,,,,,
78,親子天下,怪傑左羅力28,V,2025-01-14,174,親子天下,,,,,
79,親子天下,怪傑左羅力29,V,2025-01-14,174,親子天下,,,,,
80,親子天下,怪傑左羅力30,V,2025-01-14,174,親子天下,,,,,
81,親子天下,怪傑左羅力31,V,2025-01-14,174,親子天下,,,,,
82,親子天下,怪傑左羅力32,V,2025-01-14,183,親子天下,,,,,
83,親子天下,怪傑左羅力33,V,2025-01-14,182,親子天下,,,,,
84,親子天下,怪傑左羅力34,V,2025-01-14,182,親子天下,,,,,
85,親子天下,怪傑左羅力35,V,2025-01-14,182,親子天下,,,,,
86,親子天下,怪傑左羅力36,V,2025-01-14,182,親子天下,,,,,
87,親子天下,怪傑左羅力37,V,2025-02-09,204,親子天下,,,,,
88,親子天下,怪傑左羅力38,V,2025-02-09,179,親子天下,,,,,
